Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR29828423,2024-07-15 13:29:22,2024-07-15 13:19:08,16446624,1315729920,0,80,534,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828423/SRR29828423.lite.1,SRX25327268,EE038,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP519912,PRJNA1135913,,1135913,SRS21996050,SAMN42493080,simple,1561046,honey metagenome,EE038,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,5C97CD9B2CC81B749B78ABF9F5DF0A82,D9FC669DEFC0385ED9AB044EAE153642
SRR29828424,2024-07-15 13:29:22,2024-07-15 13:20:44,20897220,1671777600,0,80,664,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828424/SRR29828424.lite.1,SRX25327267,UA104,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP519912,PRJNA1135913,,1135913,SRS21996048,SAMN42493079,simple,1561046,honey metagenome,UA104,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,49EF6134F4F1EB649E2A747A43B1536C,29D15EA222AB5E54D0F8DAD7FE2CFB67
SRR32962829,2025-04-04 03:17:24,2025-04-03 02:11:41,12387761,3741103822,12387761,302,1235,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32962/SRR32962829/SRR32962829.lite.1,SRX28236500,B,WGS,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP576164,PRJNA1245617,,1245617,SRS24584644,SAMN47760422,simple,1561046,honey metagenome,Baen,,,,,,,no,,,,,BIDHAN CHANDRA KRISHI VISWAVIDYALAYA,SRA2105870,,public,8A82E9E853DB510868611F050D6B536F,4662E2DCE3D2368BC24FF2CEB848F461
SRR32962828,2025-04-04 03:17:24,2025-04-03 02:12:34,14733722,4449584044,14733722,302,1408,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32962/SRR32962828/SRR32962828.lite.1,SRX28236501,K,WGS,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP576164,PRJNA1245617,,1245617,SRS24584646,SAMN47760423,simple,1561046,honey metagenome,Kholsi,,,,,,,no,,,,,BIDHAN CHANDRA KRISHI VISWAVIDYALAYA,SRA2105870,,public,7D0AAD6EA7504A247316785957E10B81,F1D1ECC87C71E11EAFAF2F3AA02E08FC
SRR32962827,2025-04-04 03:17:24,2025-04-03 02:12:48,12537406,3786296612,12537406,302,1222,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32962/SRR32962827/SRR32962827.lite.1,SRX28236502,T,WGS,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP576164,PRJNA1245617,,1245617,SRS24584645,SAMN47760424,simple,1561046,honey metagenome,Tora,,,,,,,no,,,,,BIDHAN CHANDRA KRISHI VISWAVIDYALAYA,SRA2105870,,public,81FCC23D756C5061EC554F2522976B60,F36F3A80D6634FE618B82D46FB7BDFB4
SRR29828428,2024-07-15 13:29:22,2024-07-15 13:18:48,13662556,1093004480,0,80,471,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828428/SRR29828428.lite.1,SRX25327263,EE012,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP519912,PRJNA1135913,,1135913,SRS21996045,SAMN42493031,simple,1561046,honey metagenome,EE012,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,4F74B416AF1B70F1061A946910B3ECE3,A27665F4933785C91A9AAF5799DED824
SRR29828429,2024-07-15 13:29:22,2024-07-15 13:17:58,14670827,1173666160,0,80,474,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828429/SRR29828429.lite.1,SRX25327262,EE082,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP519912,PRJNA1135913,,1135913,SRS21996043,SAMN42493075,simple,1561046,honey metagenome,EE082,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,8A7CF2DEFCE892ACB591E4A08792CBF7,86520678FE10E22E4CAECE31F451B579
SRR29828427,2024-07-15 13:29:22,2024-07-15 13:18:17,13944180,1115534400,0,80,444,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828427/SRR29828427.lite.1,SRX25327264,EE085,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP519912,PRJNA1135913,,1135913,SRS21996055,SAMN42493076,simple,1561046,honey metagenome,EE085,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,2A1A7E2BFBD62C9628130471ED85A99C,52BA9399D8789B7B9371CC51B0227EE0
SRR29828426,2024-07-15 13:29:22,2024-07-15 13:17:49,17305775,1384462000,0,80,553,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828426/SRR29828426.lite.1,SRX25327265,EE095,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP519912,PRJNA1135913,,1135913,SRS21996046,SAMN42493077,simple,1561046,honey metagenome,EE095,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,44830CEFB1BF4BE0BE58BF256923A523,A79D3390CF1563A4439FEB7DF7D6B500
SRR29828425,2024-07-15 13:29:22,2024-07-15 13:18:52,14426204,1154096320,0,80,469,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828425/SRR29828425.lite.1,SRX25327266,UA103,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP519912,PRJNA1135913,,1135913,SRS21996047,SAMN42493078,simple,1561046,honey metagenome,UA103,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,2877040241F34B90664175C45C33EE63,9EF33B2C364B2A77025B4B90DF046F92
